Date,Open,High,Low,Close,Volume
2001-10-04,73.7835,74.2468,72.7342,73.2044,32674100
2001-10-05,73.0749,73.3270,71.8962,73.0613,29796100
2001-10-08,72.4072,73.1090,72.1346,72.5843,12970300
2001-10-09,72.6388,72.7342,71.9507,72.1960,15976300
2001-10-10,72.0870,73.9607,71.8962,73.8040,19987400
2001-10-11,74.2332,75.1530,74.2332,74.9486,23006300
2001-10-12,74.3695,74.8737,73.1090,74.6079,31360500
2001-10-15,74.0152,74.5739,73.6268,74.4717,16873000
2001-10-16,74.8124,75.3642,74.2332,74.9418,15877100
2001-10-17,75.6777,75.7322,73.3475,73.3475,28542300
2001-10-18,73.4633,73.6949,72.7342,73.1907,16510000
2001-10-19,72.9046,73.5246,72.2300,73.1430,21912500
2001-10-22,73.1090,74.6556,73.0477,74.5875,17540600
2001-10-23,74.9214,75.1394,73.8448,74.2060,22062500
2001-10-24,74.2536,74.5739,73.7358,74.0084,16065200
2001-10-25,73.2112,75.3574,72.7274,75.3370,27467900
2001-10-26,74.9146,76.1682,74.7238,75.1667,18623300
2001-10-29,75.0576,75.3234,73.2112,73.2112,18727500
2001-10-30,73.1430,73.3815,71.9234,72.3322,26178600
2001-10-31,72.8364,73.4905,72.0870,72.0870,28124200
2001-11-01,72.6320,74.2741,72.0188,73.9334,29806800
2001-11-02,73.8857,74.5262,73.4973,74.4376,17575900
2001-11-05,75.0304,75.6913,74.9146,75.4119,15929500
2001-11-06,75.1871,76.6384,74.8464,76.5839,23245800
2001-11-07,76.1546,77.0744,76.0660,76.4817,19716000
2001-11-08,76.9041,77.7285,76.2432,76.7201,22563500
2001-11-09,76.4817,76.9654,75.9298,76.8019,15895800
2001-11-12,75.6300,76.7542,74.9486,76.3318,26068800
2001-11-13,77.2925,78.0488,77.1153,78.0488,15296200
2001-11-14,78.4712,78.6279,77.4764,78.1237,17571300
2001-11-15,77.9261,78.4780,77.6263,78.2668,19470200
2001-11-16,78.4099,78.4235,77.2652,77.9193,18134900
2001-11-19,78.3009,78.9345,77.9806,78.8800,13625400
2001-11-20,78.6075,78.9005,78.1101,78.2191,16209700
2001-11-21,78.0147,78.1305,77.3402,77.7013,11470200
2001-11-23,77.7013,78.8664,77.6740,78.8187,6717100
2001-11-26,78.8664,79.2684,78.4031,78.9890,13726000
2001-11-27,78.7778,79.6499,77.7353,78.6484,19261400
2001-11-28,78.1782,78.4712,77.1630,77.2243,20195500
2001-11-29,77.4424,78.3009,76.9927,78.2668,16354700
2001-11-30,77.9466,78.2941,77.6877,77.7081,13680300
2001-12-03,77.4356,77.7285,76.9995,77.2448,15220400
2001-12-04,77.6195,78.5598,77.2311,78.5530,17239900
2001-12-05,78.7710,80.3994,78.7369,79.9906,25204000
2001-12-06,79.9497,80.3586,79.6704,79.9497,17972900
2001-12-07,79.6499,79.7794,78.8323,79.4183,18857800
2001-12-10,78.9345,79.3025,77.9125,77.9329,13862700
2001-12-11,78.2872,78.8460,77.6059,77.7762,20833300
2001-12-12,78.0488,78.2055,77.0676,77.8648,16171500
2001-12-13,77.2993,77.4696,76.3386,76.3522,19026700
2001-12-14,76.5362,77.3265,76.3113,77.0813,16721900
2001-12-17,76.9859,77.9193,76.9245,77.8784,13925900
2001-12-18,78.1033,78.4576,77.9057,78.3418,13663700
2001-12-19,77.7353,78.9822,77.6740,78.8936,20143400
2001-12-20,78.6961,78.9005,78.0488,78.1169,14867900
2001-12-21,78.6438,78.6711,78.0763,78.5891,14037700
2001-12-24,78.5070,78.6506,78.3566,78.4387,5728800
2001-12-26,78.3840,79.4505,78.3840,78.8694,10304800
2001-12-27,78.8284,79.3616,78.7942,79.3480,9407300
2001-12-28,79.5052,79.8197,79.2523,79.3069,10593800
2001-12-31,79.4095,79.5736,78.0968,78.1447,14619500
2002-01-02,78.6985,79.1360,77.8097,78.9856,18651900
2002-01-03,79.0677,79.9564,78.9925,79.8812,15743000
2002-01-04,80.1069,80.6606,79.6830,80.4145,20140700
2002-01-07,80.4692,80.6675,79.6898,79.8471,13106500
2002-01-08,79.8471,80.0316,79.2864,79.6625,12683700
2002-01-09,79.7719,80.5239,78.8557,79.0130,16610300
2002-01-10,79.0950,79.5462,78.8284,79.3616,12823400
2002-01-11,79.4505,79.4984,78.4182,78.5822,13708400
2002-01-14,78.3840,78.5139,77.9122,78.0900,12301100
2002-01-15,78.3156,78.8899,77.8712,78.7258,20219900
2002-01-16,78.1447,78.2131,77.0440,77.1328,17067000
2002-01-17,77.7755,78.1037,77.5294,77.7140,17283400
2002-01-18,77.2559,77.8370,77.0303,77.3585,17028000
2002-01-22,77.7687,77.8917,76.5859,76.8252,11689300
2002-01-23,77.0029,77.6319,76.5859,77.4132,12438900
2002-01-24,77.6935,78.1105,77.4747,77.6524,12142800
2002-01-25,77.3379,78.0626,77.2833,77.6319,12810700
2002-01-28,77.8712,78.0695,77.2012,77.8439,10589200
2002-01-29,77.8370,78.0285,75.2391,75.3963,27720800
2002-01-30,75.4715,77.5225,74.1110,76.4833,34711800
2002-01-31,76.6748,77.4610,76.3124,77.3790,19909200
2002-02-01,77.3174,77.4610,76.6884,77.0166,15838500
2002-02-04,76.7295,76.7295,74.8220,75.1023,24243400
2002-02-05,74.7947,75.5399,74.1999,74.6374,33614000
2002-02-06,74.9656,75.0271,73.8785,74.3161,29486000
2002-02-07,74.3298,75.1091,73.8375,73.8512,23445400
2002-02-08,74.2682,75.7176,74.0426,75.2664,19277800
2002-02-11,75.2391,76.3261,75.0818,76.1894,18792400
2002-02-12,75.8612,76.3740,75.2254,75.9501,13942500
2002-02-13,76.2167,76.9414,76.1278,76.7568,16781100
2002-02-14,76.9209,77.2354,76.2919,76.6132,20453800
2002-02-15,76.6748,76.7363,75.6903,75.8133,18366800
2002-02-19,75.3074,75.4031,74.2545,74.3571,15988100
2002-02-20,74.5554,75.6082,73.7144,75.6082,29242800
2002-02-21,75.1570,75.6356,74.0153,74.0426,26288600
2002-02-22,74.0768,75.1638,73.7486,74.9587,26572900
2002-02-25,75.0271,76.4423,74.9998,76.1962,17458700
2002-02-26,76.2988,76.5996,75.5946,76.0390,22346500
2002-02-27,76.5449,77.1602,75.6493,76.3329,28597900
2002-02-28,76.4560,77.0850,75.9091,75.9911,23755400
2002-03-01,76.3808,77.8370,76.2372,77.7618,26273600
2002-03-04,77.8712,79.3001,77.7003,79.1360,27184600
2002-03-05,78.8489,79.5804,78.6028,78.8831,22718900
2002-03-06,78.6916,80.0932,78.6711,79.8197,20143200
2002-03-07,80.2368,80.3325,79.0130,79.6488,19330800
2002-03-08,80.2504,80.6059,79.6351,79.9838,19930100
2002-03-11,79.9154,80.6059,79.6009,80.1547,15621800
2002-03-12,79.3753,80.1615,79.2659,80.1069,17153600
2002-03-13,79.7377,79.8197,79.0608,79.3343,17175300
2002-03-14,79.3343,79.6009,79.0540,79.2249,11168100
2002-03-15,79.5114,80.1833,79.4634,79.9776,21220100
2002-03-18,80.2862,80.6016,79.6005,79.9913,17548900
2002-03-19,80.4233,80.7250,80.0942,80.5261,17912000
2002-03-20,79.8748,79.9296,78.9766,79.0109,17114500
2002-03-21,79.0521,79.4634,78.2430,79.0452,25846800
2002-03-22,79.1892,79.4908,78.6407,78.8738,15235400
2002-03-25,78.9081,79.0932,77.6808,77.8934,17499600
2002-03-26,77.8316,78.8601,77.7974,78.3459,19947600
2002-03-27,78.1813,78.8532,77.9962,78.5515,19020300
2002-03-28,78.8258,79.3743,78.5036,78.5173,17532900
2002-04-01,78.3184,78.9149,77.8179,78.5515,17711000
2002-04-02,78.1470,78.8121,78.0030,78.1196,15669500
2002-04-03,78.1676,78.3047,76.8992,77.5711,25658500
2002-04-04,77.2009,77.7494,76.9472,77.2489,23549000
2002-04-05,77.6054,77.9071,76.9129,77.2626,19404900
2002-04-08,76.3233,77.4957,76.2616,77.4271,16470100
2002-04-09,77.5985,77.5985,76.7415,76.8855,15122700
2002-04-10,76.8581,77.8454,76.8512,77.7562,17199300
2002-04-11,77.3997,77.5094,75.7611,75.8228,25453700
2002-04-12,76.1176,76.5495,75.4457,76.3918,14950600
2002-04-15,76.5290,76.6935,75.5554,75.8091,17394900
2002-04-16,76.5838,77.6945,76.5632,77.6122,15040900
2002-04-17,77.7425,77.9345,77.2009,77.4477,12920100
2002-04-18,77.4066,77.7905,76.2067,77.1117,25204800
2002-04-19,77.6122,77.6397,77.1734,77.3928,10499200
2002-04-22,77.0500,77.0843,75.9942,76.1039,13922900
